200000	200000	11361	50	6218.48	6025.89
216788	203681	11554	51	6325.05	6206.65
264838	206789	11707	52	6409.64	6288.81
294815	210179	11970	53	6554.66	6452.08
308764	215179	12088	54	6619.48	6598.39
330912	219141	12317	55	6745.82	6673.24
347811	224141	12561	56	6879.85	6834.84
369923	229141	12717	57	6965.54	6745.78
397765	234141	13025	58	7134.73	7035.51
583486	239141	13913	59	7622.51	7558.45
588486	244141	14177	60	7767.53	7572.67
609714	244734	14242	61	7803.78	7562.53
628447	248137	14391	62	7886.18	7730.88
637281	253137	14701	63	8056.46	7862.65
647281	258137	14857	64	8142.15	7913.94
