10000	5.0
20000	6.0
30000	4.0
40000	3.0
50000	6.0
60000	5.0
70000	1.0
80000	5.0
90000	3.0
100000	2.0
110000	3.0
120000	4.0
130000	6.0
140000	4.0
150000	5.0
160000	5.0
170000	4.0
180000	3.0
190000	1.0
200000	1.0
210000	7.0
220000	3.0
230000	4.0
240000	3.0
250000	7.0
260000	3.0
270000	59.0
280000	226.0
290000	204.0
300000	213.0
310000	192.0
320000	176.0
330000	193.0
340000	208.0
350000	203.0
360000	198.0
370000	211.0
380000	217.0
390000	199.0
400000	164.0
410000	210.0
420000	218.0
430000	220.0
440000	221.0
450000	227.0
460000	212.0
470000	226.0
480000	222.0
490000	223.0
500000	214.0
510000	217.0
520000	232.0
530000	214.0
540000	227.0
550000	23.0
560000	2.0
570000	3.0
580000	2.0
590000	3.0
600000	1.0
610000	140.0
620000	188.0
630000	174.0
640000	182.0
650000	68.0
660000	3.0
670000	3.0
680000	3.0
690000	6.0
700000	7.0
710000	190.0
720000	185.0
730000	197.0
740000	196.0
750000	184.0
760000	192.0
770000	198.0
780000	191.0
790000	196.0
800000	185.0
810000	188.0
820000	200.0
830000	242.0
840000	242.0
850000	239.0
860000	245.0
870000	243.0
880000	261.0
890000	253.0
900000	255.0
910000	263.0
920000	248.0
930000	254.0
940000	260.0
950000	262.0
960000	255.0
970000	260.0
980000	258.0
990000	260.0
1000000	265.0
