50000	50000	4344	36	3524.67	3426.73
52559	52559	4559	37	3698.49	3603.65
60315	54439	4730	38	3836.90	3778.04
62144	56268	4903	39	3976.92	3905.74
65304	57912	5058	40	4102.46	3998.25
66317	58925	5183	41	4203.85	4129.56
86049	61127	5384	42	4366.41	4262.42
92381	64192	5649	43	4580.46	4509.35
97306	66133	5826	44	4723.70	4660.21
100263	69090	6121	45	4961.90	4904.64
104928	71269	6318	46	5121.23	5054.56
119072	73068	6455	47	5232.28	5139.90
126343	74559	6562	48	5319.19	5264.90
131110	78372	6875	49	5571.87	5516.76
138921	79707	7006	50	5678.10	5547.41
144323	80746	7109	51	5761.79	5679.87
148791	82333	7226	52	5856.74	5699.17
160775	87260	7631	53	6183.46	6099.16
171781	88819	7780	54	6304.17	6231.20
179465	90817	7919	55	6416.83	6320.88
184307	94248	8242	56	6677.56	6578.40
188055	96763	8453	57	6848.16	6785.23
197060	98458	8568	58	6941.51	6885.31
197453	98851	8603	59	6970.48	6872.59
206652	101346	8862	60	7179.70	7103.27
227999	104079	9065	61	7343.87	7282.95
236857	106599	9314	62	7545.04	7451.77
