200000	200000	11789	96	6525.76	6441.64
341874	200595	12080	97	6686.15	6502.48
363607	205595	12264	98	6787.23	6632.34
382362	208649	12405	99	6865.23	6741.97
431946	211408	12498	100	6916.86	6729.13
449944	214213	12663	101	7008.05	6819.51
469013	216216	12798	102	7082.75	6877.18
503400	221216	12990	103	7188.22	7112.40
526703	223606	13097	104	7247.55	7167.41
536979	225451	13274	105	7345.32	7160.43
538697	226878	13415	106	7423.32	7373.05
593793	230240	13448	107	7442.00	7360.50
653926	231680	14173	108	7840.80	7788.90
671733	235616	14250	109	7883.64	7832.15
709758	236231	14319	110	7922.09	7843.43
789717	236270	14330	111	7928.68	7774.61
